question,choices,answer
Normal solunumdaki akciğerlerin inspirasyon ve ekspirasyonu sırasında oluşan ve atmosferden hava giriş çıkışını sağlayan basınç değişimleriyle ilgili aşağıdaki ifadelerden hangisi doğrudur?,"A) İnspirasyon oluşması için intraplevral basınç istirahattaki değerine göre daha negatif olur. 
 B) İnspirasyon oluşması için intraplevral basınç atmosferik basınca eşit olmalıdır. 
 C) Ekspirasyon oluşması için alveoler basınç atmosferik basınçtan pozitife doğru artar ve intraplevral basınç farkı daha negatif olur. 
 D) Ekspirasyon oluşması için alveoler basınç pozitiften atmosferik basınç değerine doğru düşerken intraplevral basınç değişmez. 
 E) Transpulmoner basınç olarak tanımlanan alveol basıncı ile visseral - parietal plevra arası basınç farkı artışında akciğer volümü azalır.",A
İskelet kası sarkolemmasında bulunan transvers tübüllerin görevi aşağıdakilerden hangisidir?,"A) Hücre dışı sıvıdaki kalsiyum iyonlarının hücreye girişini sağlamak 
 
 B) Kas hücresine sodyum iyonlarının girişini sağlamak 
 
 C) Aksiyon potansiyelinin dihidropiridin reseptörlerine ulaşmasını sağlamak 
 
 D) Asetilkolinin geri emilimini sağlamak 
 
 E) Hücre içinde kalsiyum iyonlarını depolamak",C
Aşağıdakilerden hangisi gastrik asit yapımını inhibe etmez?,"A) Somatostatin 
 C) Histamin 
 B) VIP 
 D) Sekretin 
 E) GIP",C
Yaşlanma ile endokrin sistemde meydana gelen fizyolojik değişikliklerle ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"A) Aldosteron salgısı azalır. 
 
 B) İnsülin benzeri büyüme faktörü-1 salgılanması azalır. 
 
 C) Erkeklerde lüteinleştirici hormon değişmez veya hafif artar. 
 
 D) Büyüme hormonu salgılanması azalır. 
 
 E) Dihidroepiandrosteron sülfat düzeyi artar.",E
Bakışın bir nesneden diğerine kaydırılması esnasında gözlerdeki ani sıçramalar olan sakkadik hareketlerden temel olarak sorumlu merkez aşağıdakilerden hangisidir?,"C) Sekonder görme alanı 
 E) Okülomotor çekirdek 
 A) Süperior kollikulus 
 B) Primer görme alanı 
 D) Vestibüler çekirdek",A
Retinada bipolar hücreler kendilerine gelen uyarıyı hangi hücrelere iletirler?,"A) Hem amakrin hem de horizontal hücrelere 
 B) Hem amakrin hem de gangliyon hücrelerine 
 C) Sadece horizontal hücrelere 
 D) Sadece gangliyon hücrelerine 
 E) Hem horizontal hem de gangliyon hücrelerine",B
"I. Eritrosit sayısı
 II. Trombosit sayısı III. Hematokrit değeri IV. Hemoglobin değeri 
 Yukarıdaki kan parametrelerinden hangilerinin normal değer aralığı cinsiyete göre değişiklik göstermez?","A) Yalnız II 
 B) Yalnız III 
 D) I, II ve IV 
 C) I ve III 
 E) II, III ve IV",A
"Pentoz fosfat yolunda oluşan NADPH+H+, aşağıdaki metabolik olaylardan hangisinde görev almaz?","A) Hidrojen peroksitin indirgenmesi 
 B) Yağ asidi sentezi 
 C) Serotonin sentezi 
 D) Nitrik oksit sentezi 
 E) Steroid sentezi",C
"Hiperamonemi sonucunda gelişen hepatik ensefalopatide, eksikliği nedeni ile sitrik asit döngüsünün çalışmamasına neden olan ara ürün aşağıdakilerden hangisidir?","A) Sitrat 
 C) Malat 
 B) Fumarat 
 D) α-ketoglutarat 
 E) Okzaloasetat",D
Aşağıdaki ara ürünlerden hangisi de novo pirimidin sentezinde oluşan ilk nükleotiddir?,"C) Orotat 
 D) Orotidin 5’-monofosfat 
 E) Üridin 5’-monofosfat 
 A) Karbamoil aspartat 
 B) Dihidroorotat",D
Lesch-Nyhan sendromu ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"A) X kromozomuna bağlı kalıtım gösterir. 
 
 B) Kurtarma (salvage) yolağında IMP ve GMP sentezi azalır. 
 
 C) Hücre içi fosforibozilpirofosfat (PRPP) düzeyi azalır. 
 
 D) De novo pürin nükleotid sentezi hızlanır. 
 
 E) Sinoviyal sıvıda ve idrarda ürat kristallerinin oluşumunda artış görülebilir.",C
Pürin bazlarının halka yapısında bulunan karbon atomu sayısı kaçtır?,"A) 4 
 B) 5 
 C) 6 
 D) 7 
 E) 8",B
Aşağıdakilerden hangisi akut lenfoblastik löseminin tedavisinde kullanılır?,"A) Arjinaz 
 C) Glutamin sentetaz 
 E) Histidaz 
 B) Asparajinaz 
 D) Glutaminaz",B
Aşağıdaki amino asitlerden hangisinin proteinlerin α-heliks yapısını bozması en az olasıdır?,"C) Glutamat 
 B) Glisin 
 D) Lizin 
 E) Alanin
 A)Prolin",E
"Aşağıdaki amino asitlerden hangisi, Ɛ-karbon atomuna bağlı ikinci bir amino grubu içerir?","A) Prolin 
 B) Histidin 
 C) Triptofan 
 D) Arjinin 
 E) Lizin",E
"Aşağıdaki amino asit çiftlerinden hangisi, R yan zincirlerinde azot atomu içeren halka yapısı bulundurur?","A) Histidin – Triptofan 
 B) Histidin – Fenilalanin 
 C) Fenilalanin – Tirozin 
 D) Fenilalanin – Triptofan 
 E) Triptofan – Arjinin",A
Aşağıdakilerden hangisinin metabolizması sonucu asetil-KoA oluşmaz?,"A) Lösin 
 C) Asetoasetat 
 B) Palmitat 
 D) Propiyonil-KoA 
 E) Etanol",D
Aşağıdakilerden hangisi gliserofosfolipid yapısındaki bileşiklerden biri değildir?,"A) Fosfatidilkolin 
 B) Fosfatidiletanolamin 
 C) Fosfatidilinozitol bisfosfat 
 D) Kardiyolipin 
 E) Serebrozid",E
"Açlıkta, hormona duyarlı lipaz aktivitesindeki artışa bağlı olarak aşağıdakilerden hangisinin plazma düzeyi yükselir?","C) Laktat 
 D) Pirüvat 
 E) Serbest kolesterol 
 A) Keton cisimleri 
 B) Trigliserid",A
"Plazma membranının dış tabakasında yer alır.
  Yapısında kolesterol, sifingomiyelin ve glikosfingolipidleri bulundurur.
 Glikozilfosfatidilinositol bağlı proteinleri içermez.
 Sinyal iletiminde rol oynar. 
 
  ""Lipid raft"" ile ilgili yukarıdaki ifadelerden hangileri doğrudur?","Yalnız III 
 B) I ve II 
  D) II ve IV 
 C) I ve III 
 E) I, II ve IV",E
"Nükleusta bulunan tiroksin reseptörü, aşağıdaki reseptörlerden hangisi ile heterodimer oluşturarak korepresörlerin varlığında DNA’daki ""hormon response element""in gen ekspresyonunu inhibe eder?","A) Glukokortikoid reseptörü 
 B) Östrojen reseptörü 
 C) Progestin reseptörü 
 D) Retinoid X reseptörü 
 E) Mineralokortikoid reseptörü",D
"Progesteron
 Testosteron 
 Östrodiol 
  Yukarıdaki hormonların karbon atomlarının sayısı dikkate alındığında, büyükten küçüğe doğru sıralama nasıl olmalıdır?","I - II - III 
 I - III - II 
  II - III - I 
  D) III - I - II 
 E) III - II - I",A
"Kollajen sentezi sırasında, lizin ve hidroksilizin rezidülerini oksidatif deaminasyona uğratarak çapraz bağlanmalar oluşturmak üzere reaktif aldehitlere çeviren enzim aşağıdakilerden hangisidir?","A) Lizil oksidaz 
 B) Lizil hidroksilaz 
 C) Prolil oksidaz 
 D) Prolil hidroksilaz 
 E) Prokollajen peptidaz",A
Aşağıdakilerden hangisinin pankreas kökenli proenzim formunun aktivasyonu için tripsin ve safra tuzları gereklidir?,"D) Fosfolipaz C 
 E) Fosfolipaz D 
 A) Fosfolipaz A1 
 B) Fosfolipaz A2 
 C) Fosfolipaz B",B
Bir mol “hem” sentezi için kaç mol glisin gerekir?,"A) 1 
 B) 2 
 C) 4 
 D) 6 
 E) 8",E
Aşağıdaki enzimlerden hangisinin aktivite göstermesi için mangan gerekmez?,"B) ALA dehidrataz 
 C) Mitokondriyal süperoksit dismutaz 
 D) Pirüvat karboksilaz 
 E) İzositrat dehidrogenaz 
 A) Arjinaz",B
Aşağıdakilerden hangisi liyaz sınıfı bir enzimdir?,"A) Alkalen fosfataz 
 B) Amilaz 
 C) Alanin transaminaz 
 D) Laktat dehidrogenaz 
 E) Aldolaz",E
Aşağıdaki koenzim ve yapısında bulunan kimyasal grup eşleştirmelerinden hangisi doğrudur?,"B) Lipoik asit – Aldehit grubu 
 C) Nikotinamid adenin dinükleotid – Metenil grubu 
 D) Koenzim A – Açil grubu 
 E) Biotin – Hidrit iyonu 
 A) Flavin adenin dinükleotid – Metil grubu",D
Karanlık alan mikroskopisi ile ilgili aşağıdaki ifadelerden hangisi yanlıştır?,"A) Özel kondansatör içeren mikroskoplar ile uygulanır. 
 B) Rezolüsyon gücü ışık mikroskopisine göre daha iyidir. 
 C) Örnekte spiroket varlığının araştırılmasında kullanılır. 
 D) Mikroorganizmaların iç yapılarının görülmesini sağlar. 
 E) Organizmanın hareketinin izlenmesine olanak verir.",D
"Sterilizasyon ve dezenfeksiyona karşı direnç profillerine göre aşağıdakilerden hangisinde verilen mikroorganizmalar, en duyarlı olandan en dirençli olana doğru sıralanmıştır?","A) HIV – Staphylococcus aureus – Candida albicans – Pseudomonas aeruginosa – HPV 
 B) HPV – Escherichia coli – Candida albicans – Enterococcus faecalis – HBV 
 C) HBV – Candida albicans – Enterococcus faecalis – Mycobacterium tuberculosis – HPV 
 D) Mycobacterium tuberculosis – HPV – Escherichia coli – Staphylococcus aureus – HIV 
 E) Pseudomonas aeruginosa – HIV – Staphylococcus aureus – HPV – Mycobacterium tuberculosis",A
VDRL testi ile ilgili aşağıdaki ifadelerden hangisi doğrudur?,"A) Sifiliz tanısında kullanılan özgül bir testtir. 
 B) Treponema pallidum antijenleri kullanılarak yapılır. 
 C) Enzim immünoassay (ELISA) temelli bir testtir. 
 D) Tarama testi olarak ve tedavi takibinde kullanılabilir. 
 E) Primer sifiliz enfeksiyonunda duyarlılığı yüksektir.",D
Aşağıdaki toksin – bakteri eşleştirmelerinden hangisi yanlıştır?,"A) Enterotoksin – Salmonella Typhi 
 B) Letal toksin – Bacillus anthracis 
 C) Alfa toksin – Clostridium perfringens 
 D) Panton-Valentine lökosidini – Staphylococcus aureus 
 E) Dermonekrotik toksin – Bordetella pertussis",A
"I. Corynebacterium diphtheriae II. Bacillus anthracis
 III. Clostridioides difficile
 IV. Bordetella pertussis 
 Yukarıdaki bakterilerden hangileri enfeksiyon bölgesinde yalancı zar oluşturabilir?","A) I ve IV 
 B) I ve III 
 C) II ve IV 
 D) I, III ve IV 
 E) II, III ve IV",B
"İshal şikâyeti olan bir hastaya ait dışkı örneğinin direkt mikroskopik incelemesinde bol eritrosit ve bol lökosit izlenmesi durumunda aşağıdaki mikroorganizmalardan hangisinin etken olması
 en az olasıdır?","A) Shigella dysenteriae 
 B) Campylobacter jejuni 
 C) Vibrio cholerae 
 E) Yersinia enterocolitica 
 D) Enteroinvaziv Escherichia coli",C
"Daha önce geçirdiği çeşitli enfeksiyonlar nedeniyle antibiyotik tedavileri aldığı öğrenilen 65 yaşındaki kadın hasta, yüksek ateş ve titreme yakınmalarıyla hastaneye yatırılıyor. Hastadan alınan kan kültüründen oksidaz negatif, DNaz pozitif, non-fermenter bir gram negatif basil izole ediliyor. İn vitro duyarlılık testinde etken bakterinin sefalosporinlere, karbapenemlere, aminoglikozitlere ve florokinolonlara dirençli, trimetoprim-sulfametoksazole yüksek tedavi dozunda duyarlı olduğu tespit ediliyor. 
 Bu tabloya yol açması en olası bakteri aşağıdakilerden hangisidir?","A) Burkholderia cepacia kompleks 
 B) Stenotrophomonas maltophilia 
 C) Acinetobacter baumannii kompleks 
 D) Pseudomonas aeruginosa 
 E) Elizabethkingia meningoseptica",B
Hücre duvarında bol miktarda protein A bulunan Staphylococcus aureus Cowan I suşunun taşıyıcı olarak kullanıldığı aglütinasyon yöntemi aşağıdakilerden hangisidir?,"A) Lateks aglütinasyon 
 B) İndirekt aglütinasyon 
 C) Pasif aglütinasyon 
 D) Hemaglütinasyon 
 E) Koaglütinasyon",E
CCR5 ko-reseptörüne bağlanarak HIV-1'in konak hücreye girişini engelleyen antiviral ilaç aşağıdakilerden hangisidir?,"A) Lamivudine 
 C) Nevirapine 
 B) Raltegravir 
 D) Enfuvirtide 
 E) Maraviroc",E
"I. Serotip tayini
 II. Genotip tayini
 III. Viral yük tayini
 IV. Antikor titresi tayini 
 Kronik hepatit C virus enfeksiyonu tanısı almış bir hastada tedavi protokolünü ve süresini belirlemek için, yukarıdaki tetkiklerden hangilerinin birlikte istenmesi en uygundur?","A) I ve III 
 D) II ve IV 
 B) II ve III 
 C) I ve IV 
 E) III ve IV",B
Aşağıdakilerden hangisinin human papillomavirus tip-6 ve tip-11 ile ilişkili olması en az olasıdır?,"A) Epidermoid kist 
 B) Konjunktival papillomlar 
 C) Rekürren respiratuvar papillomatozis 
 D) Kondiloma aküminata 
 E) Servikal intraepiteliyal neoplazi",A
Primer enfeksiyon sonrası monositlerde latent kalan herpesvirus aşağıdakilerden hangisidir?,"A) HSV-2 
 B) HHV-8 
 C) EBV 
 D) CMV 
 E) VZ",D
"Aşağıdaki antifungal ilaçlardan hangisi, sitokrom P-450’ye bağlı 14-α-demetilaz enzimine bağlanarak lanosterolden ergosterol sentezini inhibe eder?","A) Amfoterisin B 
 B) Kaspofungin 
 C) İtrakonazol 
 D) Flusitozin 
 E) Griseofulvin",C
"Tek bacakta, çok yavaş ilerlemiş olduğu belirtilen, verrüköz, karnabahar benzeri görünümde lezyonlar nedeniyle başvuran hastadan alınan biyopsinin mikroskopik incelemesinde, koyu kahverengi renkli, tomurcuklanma göstermeyen, büyük, kalın duvarlı, enine ve boyuna septumlu, yuvarlak, muriform hücreler görülüyor. 
 Bu hastada biyopsi örneğinden yapılan kültürde üremesi en olası etken aşağıdakilerden hangisidir?","A) Candida albicans 
 B) Aspergillus flavus 
 C) Rhizopus arrhizus 
 D) Fusarium solani 
 E) Fonsecaea pedrosoi",E
Aşağıdakilerden hangisinin tinea unguium etkenleri arasında yer alması en az olasıdır?,"B) Scopulariopsis brevicaulis 
 C) Hortaea werneckii 
 D) Trichophyton rubrum 
 E) Epidermophyton floccosum 
 A) Scytalidium dimidiatum",C
Aşağıdaki parazitlerden hangisinin neden olduğu hastalığın tanısı için en uygun yöntem kas biyopsisidir?,"A) Toxoplasma gondii 
 B) Trichinella spiralis 
 C) Trichuris trichiura 
 D) Onchocerca volvulus 
 E) Taenia saginata",B
Aşağıdaki protozoon enfeksiyonlarından hangisinin tanısında aside dirençli boyama yönteminin kullanılması en uygundur?,"A) Cyclospora cayetanensis 
 B) Babesia microti 
 C) Toxoplasma gondii 
 D) Trypanosoma brucei rhodesiense 
 E) Entamoeba histolytica",A
Maternal IgG’nin plasentadan fetüse taşınmasında görev alan spesifik reseptör aşağıdakilerden hangisidir?,"C) FcRIIB 
 B) FcRI 
 D) FcRIIIA 
 E) FcRn 
 A) FcRIIA",E
Patern tanıyan reseptörler (PRR) tarafından tanınan tehlikeyle ilişkili moleküler paternler (DAMP) esas olarak aşağıdakilerin hangisinden kaynaklanır?,"A) Apoptotik hücreler 
 C) Prokaryotik hücreler 
 E) Viruslar 
 D) Fagositik hücreler 
 B) Nekrotik hücreler",B
Uyarılmış T hücrelerde eksprese olan ve CD28 molekülü ile yapısal benzerliği nedeniyle dendritik hücrelerdeki ko-stimülatörlere bağlanarak T hücre aktivasyonunu inhibe eden molekül aşağıdakilerden hangisidir?,"A) CD80 
 B) B7-2 
 C) CD40 
 E) CTLA-4 
 D) CD22",E
"Sepsis düşünülen bir hastanın ayrı venlerinden alınarak gönderilen iki set kan kültürünün birinde aşağıdaki bakterilerden hangisinin üremesi durumunda, üreyen bakterinin etken olduğunu söyleyebilmek için diğer kültürde de aynı bakterinin üremesi gerekir?","B) Francisella tularensis 
 C) Staphylococcus aureus 
 D) Brucella melitensis 
 E) Cutibacterium acnes 
 A) Streptococcus pneumoniae",E
"Aşağıdaki birikimlerden hangisi, hücre fonksiyonlarına belirgin zarar vermemekle birlikte serbest radikal hasarını göstermektedir?","A) α1-antitripsin 
 C) Lipofuskin 
 B) Amiloid 
 D) Hemosiderin 
 E) Kolesterol",C
"I. Endotel 
 II. Nötrofil 
 III. T hücresi 
 L-selektin adezyon molekülü yukarıdaki hücrelerin hangilerinde bulunur?","A) Yalnız I 
 D) II ve III 
 B) Yalnız II 
 C) I ve III 
 E) I, II ve III",D
"I. Zahn çizgileri içerir.
 II. Sıklıkla oklüziv özelliktedir.
 III. En sık femoral arterlerde görülür. 
 Arteriyel trombüsler ile ilgili yukarıdaki ifadelerden hangileri doğrudur?","A) Yalnız I 
 D) I ve II 
 B) Yalnız II 
 C) Yalnız III 
 E) I, II ve III",D
"T lenfosit odakları, nadir plazma hücreleri ve fibrinoid nekroz zonunda aktive makrofajlar ile karakterize mikroskopik lezyonlar aşağıdaki kalp hastalıklarından hangisinin tipik patolojik bulgusudur?","A) Romatizmal kalp hastalığı 
 B) Libman-Sacks endokarditi 
 C) Skleroderma 
 D) Coxsackievirus endokarditi 
 E) Karsinoid kalp hastalığı",A
"Miyokard enfarktüsü geçiren bir hastanın sol anterior desendan ve sol sirkumfleks koroner arterlerinin intimal yüzeyinde; damar lümenini daraltan, sarı-beyaz renkli, yer yer kanamalı kabarık lezyonlar saptanıyor. 
 Bu lezyonlarda aşağıdaki hücrelerden hangisinin varlığı en az olasıdır?","A) Lenfosit 
 B) Makrofaj 
 C) Köpüksü hücre 
 D) Düz kas hücresi 
 E) Nötrofil",E
"Altmış yedi yaşındaki erkek hasta; giderek artan nefes darlığı, merdiven çıkamama, arada bir gelen kuru öksürük şikâyetleriyle başvuruyor. Siyanotik görünümde olan ve parmaklarında çomaklaşma izlenen hastanın bilgisayarlı tomografisinde; her iki akciğerde özellikle alt lob subplevral alanda retiküler opasite alanları ile traksiyon bronşiektazi görülüyor. Hastaya tanı amaçlı açık akciğer biyopsisi yapılıyor. 
 Biyopsi incelemesinde aşağıdakilerden hangisinin saptanması en az olasıdır?","A) Parankim kaybı 
 B) Granülom oluşumu 
 C) Bal peteği fibrozisi 
 D) İnflamatuvar infiltrasyon 
 E) Fibroblastik odaklar",B
Prostat adenokarsinomu hematojen yolla aşağıdaki bölgelerden hangisine daha sık metastaz yapar?,"A) Seminal vezikül 
 B) Mesane 
 C) Akciğer 
 D) Paraaortik lenf nodülleri 
 E) Vertebra",E
Aşağıdaki böbrek tümörlerinden hangisi genellikle benign davranış gösteren epitelyal bir tümördür?,"A) Renomedüller interstisyel hücreli tümör 
 B) Nefroblastoma 
 C) Bellini duktus karsinomu 
 D) Anjiyomiyolipom 
 E) Onkositom",E
"Vajinal kanama şikâyetiyle başvuran 45 yaşındaki hastanın ultrasonografisinde plasentada “kar fırtınası paterni” görülüyor, fetus saptanmıyor. Küretaj materyalinin histolojik incelemesinde, ileri derecede genişlemiş ve hidropik özellikte koryonik villuslar ve bu villusların bir kısmını çepeçevre saran, hafif hücresel atipili trofoblastik hücre proliferasyonu tespit ediliyor. Miyometriyal invazyon görülmüyor. 
 Bu olgu için en olası histolojik tanı aşağıdakilerden hangisidir?","A) Koryokarsinom 
 B) Mol hidatidiform 
 C) İnvaziv mol 
 D) Plasental site trofoblastik tümör 
 E) Hidropik abortu",B
"I. Nükleer pleomorfizm II. Tübül formasyonu III. Hücre polarizasyonu 
 İnvaziv meme kanserlerinin histolojik derecelendirilmesinde kullanılan Nottingham Histolojik Skor Sisteminde yukarıdakilerden hangileri dikkate alınır?","A) Yalnız I 
 B) Yalnız III 
 D) II ve III 
 C) I ve II 
 E) I, II ve III",C
"Üç yıldır hipertansiyon nedeniyle tedavi edilen ve bilgisayarlı tomografi incelemesinde sağ adrenal yerleşimli kitle saptanarak opere edilen 47 yaşındaki kadın hastanın adrenalektomi materyalinde; 1,5 cm çapında, iyi sınırlı, sarı renkli bir kitle tespit ediliyor. Kitlenin mikroskopik incelemesinde; kitle içinde kordonlar ve trabeküller oluşturan, intrasitoplazmik yağ içeren ve berrak sitoplazmalı uniform kortikal hücreler izleniyor. İntrasitoplazmik eozinofilik laminer cisimcikler dikkati çekiyor. Kitle dışı adrenal dokuda bir anormallik görülmüyor. 
 Bu lezyon için en olası tanı aşağıdakilerden hangisidir?","A) Adrenal korteks karsinomu 
 B) Aldosteron salgılayan adenom 
 C) Nodüler kortikal hiperplazi 
 D) Primer pigmente nodüler hastalık 
 E) Feokromositoma",B
"Elli iki yaşındaki kadın hasta, gövde ve ağız içine yerleşen içi su dolu kabarcıklar ve bunların patlamasıyla ortaya çıkan ağrılı yaralar nedeniyle başvuruyor. Dermatolojik muayenede gövde ve ekstremitelere yerleşen büller ve erozyonlar ile damak ve bukkal mukozada erozyonlar tespit ediliyor. Deri biyopsisinde, epidermiste suprabazal akantolitik bül ve direkt immünofloresan incelemede tüm epidermisi kapsayacak şekilde interselüler IgG birikimi görülüyor. 
 Bu hasta için en olası tanı aşağıdakilerden hangisidir?","C) Dermatitis herpetiformis 
 B) Büllöz pemfigoid 
 D) Pemfigus foliaceus 
 E) Epidermolizis bülloza 
 A) Pemfigus vulgaris",A
